title,material,temperature_C,pressure,pulse_time,cycles,aspect_ratio
Far-infrared lines hidden in archival deep multi-wavelength surveys: Limits on [CII]-158$μ$m at $z \sim 0.3-2.9$,TiN,,,15 S,,
The role of the solid-melt interface in accelerating the self-catalyzed growth kinetics of III-V semiconductors,"TiN, Al2O3",1.0,7 Torr,2 s,,
Negative Pre-activations Differentiate Syntax,TiN,1.0,,,,
"Structural, optical, and electrical properties of Cu-doped NiO films synthesized by spray pyrolysis for potential gas sensing applications",TiN,450.0,,2 S,,
Chat to Chip: Large Language Model Based Design of Arbitrarily Shaped Metasurfaces,TiN,3.0,,40 S,,
BladderFormer: A Streaming Transformer for Real-Time Urological State Monitoring,TiN,,,71 s,,
Neural Visibility of Point Sets,TiN,3.55,,75 ms,,
"ADAPT: Lightweight, Long-Range Machine Learning Force Fields Without Graphs",TiN,,,100 s,,
PEARL: Peer-Enhanced Adaptive Radio via On-Device LLM,TiN,9.0,,20 ms,,
Autoregressive Video Generation beyond Next Frames Prediction,TiN,,,5 s,,
Wafer-Level Prototyping Tools for CMOS Bioelectronic Sensors,TiN,25.0,,4 S,10.0,
Excitation and ionization by electron impact in transition and super-transition arrays,TiN,,,2 s,,
Stable Cinemetrics : Structured Taxonomy and Evaluation for Professional Video Generation,TiN,2.0,,,,
Automated and Scalable SEM Image Analysis of Perovskite Solar Cell Materials via a Deep Segmentation Framework,TiN,2.0,,,,
Low-power integrated optical parametric amplification via second-harmonic resonance,TiN,2.0,,10 s,,
Radiative and Jet Signatures of Regular Black Holes in Quantum-Corrected Gravity,TiN,8.0,,3. S,,
Optimizing Speech Language Models for Acoustic Consistency,TiN,,,2 s,,
Quantum-Limited Optical Vector Analysis,TiN,3.0,,200 MS,,
Droplets sliding on single and multiple vertical fibers,TiN,5.0,2 Pa,3 s,,
Stretching water between two grooves,TiN,,,2.5 s,,
V-HUB: A Visual-Centric Humor Understanding Benchmark for Video LLMs,TiN,2024.0,,15 s,,
Hyperbolic Monge-Ampère Equation on a Cylinder: Well-Posedness and Stability,TiN,0.0,,0 s,,
A transmission hologram for slitless spectrophotometry on a convergent telescope beam. Optimisation and characterization,TiN,,,0 S,,
Spectral-temporal processing using integrated recursive electro-optic circuit,TiN,1.0,,,,
CineWild: Balancing Art and Robotics for Ethical Wildlife Documentary Filmmaking,TiN,100.0,,,,
Geometric flow of planar domain-wall loops,TiN,0.54,3 mTorr,2 Ms,,
Electrically Tunable Excitonic-Hyperbolicity in Chirality-Pure Carbon Nanotubes,"TiN, Al2O3",1.0,4 Pa,,,
Dynamic Pricing of an Expiring Item under Strategic Buyers with Stochastic Arrival,TiN,,,2010 s,,
Roadmap to planar electron-ion point Paul trap,TiN,,8 Pa,30 s,,
EVLF-FM: Explainable Vision Language Foundation Model for Medicine,TiN,2.0,,,,
ELHPlan: Efficient Long-Horizon Task Planning for Multi-Agent Collaboration,TiN,,,119.70 s,,
The Orbital Eccentricities of Planets in the Kinematic Thin and Thick Galactic Disks,TiN,260.0,,3 S,,
Strain-induced Dynamic Spin-Phonon Coupling in Epitaxial RuO2 Films,"TiN, Al2O3",2.0,6 Torr,0169. S,,
Chiral Analogues of Knit Stitches Designed Using Chiral Topology,TiN,1.0,,4. S,,
Fabrication of oxide/FeSe multilayer films using the PLD technique,TiN,1000.0,8 Torr,,,
VividFace: High-Quality and Efficient One-Step Diffusion For Video Face Enhancement,TiN,2025.0,,,,
High Torque Density PCB Axial Flux Permanent Magnet Motor for Micro Robots,TiN,143.0,,,,
Energy minimization for skyrmions on planar thin films,TiN,5.0,,2 s,,
Closure Relations of Synchrotron Self-Compton from Reverse shock and Fermi-LAT GRBs,TiN,130504.0,,31.5 s,,
Non-Altermagnetic Origin of Exchange Bias Behaviors in Incoherent RuO$_2$/Fe Bilayer Heterostructures,"TiN, Al2O3",,4 mTorr,0.02 s,,
Directional strong coupling at the nanoscale between hyperbolic polaritons and organic molecules,TiN,1.0,,,,
Fusion of 12C+28Si at deep sub-barrier energies,TiN,12.0,,32 S,,
Supercondutivity of Nb-Ta-Ti-Zr-Hf high entropy alloy polycrystalline and amorphous thin films,"TiN, Al2O3",,5 Pa,,,
Features of the Electronic and Charge States of Monovalent-Doped Manganite Films Probed by Magnetic Circular Dichroism,TiN,650.0,,,,
DemoGrasp: Universal Dexterous Grasping from a Single Demonstration,TiN,11.0,,,,
Beyond Seamless: Unexpected Defective Merging in Single-Orientation Graphene,TiN,1.0,,,,
Probing the bubble interior with entanglement entropy and bulk-cone singularities,TiN,59.0,,,,
Unveiling Obscured Accretion in the Local Universe,TiN,3.0,,1 S,,
Electro-mechanical wrinkling of soft dielectric films bonded to hyperelastic substrates,TiN,0.0,,,,
Hunyuan3D-Omni: A Unified Framework for Controllable Generation of 3D Assets,TiN,2025.0,,,,
Electronic crystals in layered materials,TiN,3.0,,1 s,,
A GND-based back stress model for reverse loading in metal sheets with consideration of GNB,TiN,,100 mTorr,3 s,,
A Fourier/Modal-Spectral-Element Method for the Simulation of High-Reynolds Number Incompressible Stratified Flows in Domains with a Single Non-Periodic Direction,TiN,,,0.9815 s,,
"Field-resilient superconducting coplanar waveguide resonators made of Nb, NbTi, and NbTiN",TiN,3.0,2.0 mTorr,,,
A New Precise Measurement of the Cosmic Microwave Background Radiation Temperature at $z=0.89$ Toward PKS1830-211,TiN,,,01099. S,,
"Effect of C additives with 0.5% in weight on structural, optical and superconducting properties of Ta-Nb-Hf-Zr-Ti high entropy alloy films","TiN, Al2O3",520.0,6 Torr,,,
The X-ray Emission of NGC 5005: An Unobscured Low-Luminosity AGN with a Weakly Accreting Broad-Line Region,TiN,2011.0,,2 s,,
How two-dimensional are planet-disc interactions? II. Radiation hydrodynamics and suitable cooling prescriptions,TiN,1.0,,2 s,,
A relativistic treatment of accretion disk torques on extreme mass-ratio inspirals around non-spinning black holes,TiN,10.0,,2 s,,
An Educational Guide for 2D Stellar Structure Calculations of Rapidly Rotating Stars using the ESTER code,TiN,23.0,,2010. S,,
HL-IK: A Lightweight Implementation of Human-Like Inverse Kinematics in Humanoid Arms,TiN,5.0,,,,
Film-wise condensation of pure vapour in flattened tubes: A numerical study of the combined influence of aspect ratio and rotation angle,TiN,,,1 s,,6.0
"Resistive switching behaviors in vertically aligned MoS$_2$ films with Cu, Ag, and Au electrodes","TiN, Al2O3",700.0,1 Torr,2500 s,30.0,
Modelling and Analysis of Non-Contacting Mechanical Face Seals with Axial Disturbances and Misalignment,TiN,2.11,,0 s,,
Analytical modeling of polarization signals arising from confined circumstellar material in Type II supernovae,TiN,,,8 s,,
"Roles of Fe-ion irradiation on MgB$_2$ thin films: Structural, superconducting, and optical properties","TiN, Al2O3",,,10 s,,
Ramp Josephson junctions of Al/Ti/Sr2RuO4: Observation of single-domain quantum oscillations and the detection of chiral edge current,"TiN, Al2O3",2.0,100 mTorr,,,
From Cusps to Swallowtails: Domain Wall singularities in 2+1 dimensions,TiN,46.0,,,,
High temperature superconductivity with giant pressure effect in 3D networks of boron doped ultra-thin carbon nanotubes in the pores of ZSM-5 zeolite,TiN,2.0,,2 s,,
ConViS-Bench: Estimating Video Similarity Through Semantic Concepts,TiN,80.0,,12.0 s,,
Non-equilibrium Dynamics of Two-level Systems directly after Cryogenic Alternating Bias,"TiN, Al2O3",,,10 s,,
Regular black hole formation in four-dimensional non-polynomial gravities,TiN,2.0,,1960 s,,
Bi-VLA: Bilateral Control-Based Imitation Learning via Vision-Language Fusion for Action Generation,TiN,,,08 S,,
"Sub-nanosecond heat-based logic, writing and reset in an antiferromagnetic magnetoresistive memory",TiN,3.0,,500 ms,,
Radiation-Triggered Superfluorescent Scintillation in Quantum-Ordered Perovskite Nanocrystal Superlattices,TiN,1.0,,1 S,,
AGSwap: Overcoming Category Boundaries in Object Fusion via Adaptive Group Swapping,TiN,6.0,,19 s,,
A closed-loop AI framework for hypothesis-driven and interpretable materials design,TiN,3.0,,,,
Artificial ferroelectric-like hysteresis in antiferroelectrics with non-uniform disorder,TiN,1.0,100 mTorr,,,
Simulations of multiple dust ring formation in a subsolar-metallicity protoplanetary disk,TiN,2020.0,,2 s,,
Stability and optical quality of liquid crystal films as high repetition rate plasma mirrors in staged laser-plasma accelerators,TiN,1.0,,5 S,,
Bounded ribbonlength for knot families and multi-twist Möbius bands,TiN,,,2 s,,3.0
All-magnonic neurons for analog artificial neural networks,TiN,3.0,,0 Ms,,
Black Hole Collisions With Thin Accretion Disks: OJ 287 and Small-Mass-Ratio Supermassive Black Hole Binary Candidates,TiN,697.0,,5 S,,
Microsecond-Pulsed Nanocalorimetry: A Scalable Approach for Ultrasensitive Heat Capacity Measurements,TiN,4.0,,106 S,,
Superconducting Low-beta Nb$_3$Sn Cavity for ATLAS and Future Ion Accelerators,TiN,,50 Torr,1 S,,
Boiling flow visualization experiment scaled to divertor cooling conditions,TiN,10.0,100 Pa,,,
Observational features of the Bardeen-boson star with thin disk accretion,TiN,,,2 S,,
Delta-Doped Diamond via in-situ Plasma-Distance Control,TiN,13.0,,1 S,,
Non-invasive Reversible Software-based Configuration of a Clinically Used Linear Accelerator for Preclinical Electron FLASH Radiobiology,TiN,2.0,0.5 pA,,,
Design of Ultrathin Faraday Rotators based on All-dielectric Magneto-optical Metasurfaces at the Telecommunication Band,TiN,1.0,,,,
Extreme Ultraviolet Wave and Quasi-periodic Pulsations during an eruptive M-class Flare,TiN,566.0,,120 s,,
Silicon Integrated Photonic Waveguide Polarizers with 2D MoS2 Films,TiN,750.0,1 torr,2 s,,
THz electrodynamics and superconducting energy scales of ZrN thin films,TiN,1.0,,7 S,,
A Thick Volatile Atmosphere on the Ultra-Hot Super-Earth TOI-561 b,TiN,3.0,,5 S,,
"Reconfigurable, Temperature Resilient Phase-Change Metasurfaces Fabricated via High Throughput Nanoimprinting Lithography","TiN, Al2O3",1000.0,60 Pa,10 s,,
Influence of carbon dioxide and water concentration on terbium thin films produced by Molecular Plating,TiN,7.0,,2 s,,
MDF-MLLM: Deep Fusion Through Cross-Modal Feature Alignment for Contextually Aware Fundoscopic Image Classification,TiN,,,40 S,,
Interference Induced Complex Nonlinearities in Metal-ITO Metasurfaces,TiN,1.0,,,,
Ductile fracture of HDPE thin films: failure mechanisms and tuning of fracture properties by bonding a rubber layer,TiN,1.0,,,,
SPP-MIM hybridization meta-film: a biosensing structure uniting the merits of SPR and LSPR,TiN,1.0,,1 S,,
FiLM-Nav: Efficient and Generalizable Navigation via VLM Fine-tuning,TiN,,,0.2 s,,
Non-Newtonian viscous fluid models with learned rheology accurately reproduce Lagrangian sea ice simulations,TiN,,106 Pa,,,
Superconducting Dome in Ionic Liquid Gated Homoepitaxial Strontium Titanate Thin Films,"TiN, Al2O3",1.0,6 Torr,1 s,,
Observation of mirror-odd and mirror-even spin texture in ultra-thin epitaxially-strained RuO2 films,TiN,1.0,7 Torr,0024710. S,,
Estimating Clinical Lab Test Result Trajectories from PPG using Physiological Foundation Model and Patient-Aware State Space Model -- a UNIPHY+ Approach,TiN,,,30 s,,
Classical and Quantum theory of magnonic and magnetoelastic nonlinear dynamics in continuum geometries,TiN,,,1 s,,
Nonreciprocal plasmons in one-dimensional carbon nanostructures,TiN,1.0,,,,
Analytic derivation of GW spectrum from bubble collisions in FLRW Universe,TiN,8.0,7 PA,8 s,,
The critical role of substrates in mitigating the power-efficiency trade-off in near-field thermophotovoltaics,TiN,3.0,,,,
Right-Side-Out: Learning Zero-Shot Sim-to-Real Garment Reversal,TiN,,,4 s,,
Multiple droplets dynamics on cylindrical fiber,TiN,2.0,,0.68 s,,
Thin-film boundary-layer diffusion of non-equilibrium flow to kinetically limited reactive surfaces via Damköhler thermochemistry tables,TiN,1.0,,,,
Spectral Characterization of Wave Scattering at a Granular-Elastic Solid Interface: From Hyperbolic Wave Propagation to Near-Parabolic Diffusion,TiN,,,0.07 ms,,
M&M33: MUSE and M33 I. Unveiling the Diversity of HII Regions in M33 with MUSE,TiN,5.0,,,,
Recovering elastic subdomains with strain-gradient elastic interfaces from force measurements: the antiplane shear setting,TiN,2307384.0,,2 s,,
Magnetic-Field and Temperature Limits of a Kinetic-Inductance Traveling-Wave Parametric Amplifier,TiN,71.0,,0 s,,
Geometry Dependence of Charge Transport in Nanoscopic Au@PANI Nanoparticle Assemblies,TiN,32.0,,30 s,,
Thermoelectric properties of defective scandium nitride nanostructures,"TiN, Al2O3",,,07228 S,,
A General Model for Static Contact Angles,TiN,1.0,,,,
Zero-energy resonances in ultracold hydrogen sticking to liquid helium films of finite thickness,TiN,24.0,,1 S,,
Kilovolt-Class $β-Ga_2O_3$ Field-Plated Schottky Barrier Diodes with MOCVD-Grown Intentionally $10^{15}$ $cm^{-3}$ Doped Drift Layers,"TiN, Al2O3",1000.0,60 Torr,16 S,,
Theory of Sondheimer magneto-oscillations beyond semiclassical limit,TiN,2.0,,,,
Direct Comparison of Static and Dynamic Measurements of Spin Generation in a Topological Insulator Thin Film,TiN,200.0,8 Pa,,,
"Characterization of superconducting germanide and germanosilicide films of Pd, Pt, Rh and Ir formed by solid-phase epitaxy",TiN,400.0,9 Torr,27 S,,
Room temperature reactive sputtering deposition of titanium nitride with high sheet kinetic inductance,TiN,30.0,3 mTorr,26 S,,
Flow-driven hysteresis in the transition boiling regime,TiN,,,2 s,,
Double Slit Experiment from Nano to Femto Scale,TiN,,,1860 s,,
Tuning and Suppression of YIG Magnetisation Dynamics via Antiferromagnetic Interface Coupling,TiN,1.0,,10 s,,
Measurement of radiant spectrum for excess heat generation in NiCu and Ni thin film during hydrogen gas desorption,TiN,,300 Pa,30 s,,
A numerical approach for the dynamics of active viscoelastic surfaces,TiN,0.23,,100 s,,
Phase Transition Dynamics Induced by Strong Radio-Frequency Fields in ReBCO High Temperature Superconductors,TiN,,,58 MS,,
A statistical look on kinematic planes of satellite galaxies I: frequency and properties in TNG50 MW/M31-like galaxies,TiN,200.0,,14 s,,
Three-Neighbour Bootstrap Percolation in Thin Three-Dimensional Grids,TiN,2.0,,,,
Thermal Endurance of Suspended Thin-Film Lithium Niobate up to 800 °C,TiN,300.0,,,,
Cognition Engines: A Row-Scale HVDC Architecture for Computational Continuity of AI,TiN,,,50 ms,,
Pairing Strength and Quadrupole-Soft Tin Isotopes,TiN,,,1 S,,
Persistent Interfacial Topological Hall Effect Demonstrating Electrical Readout of Topological Spin Structures in Insulators,TiN,2.0,20 mTorr,3 S,,
Proximity Ferroelectricity in Compositionally Graded Structures,TiN,1.0,,,,
Numerical Investigations of Jet A Hexane Binary Fuel Droplet Impact on a Heated Solid Surface,"TiN, Al2O3",50.0,,6 s,,
Puffed-up Inner Rings and Razor-thin Outer Rings in Structured Protoplanetary Disks,TiN,5.0,,4505 S,,
Steady-state entanglement of spin qubits mediated by non-reciprocal and chiral magnons,TiN,,,1.5 s,,
Average-power scalability of multi-cycle terahertz sources based on periodically poled lithium niobate stacks,TiN,4.0,,,,
SHREC 2025: Protein surface shape retrieval including electrostatic potential,TiN,,,3 s,,
Evolution of low surface brightness ultra-thin galaxies: The role of dark matter halo and bar formation on disk thickness,TiN,,,0 s,,
Origin of Reverse Size Effect in Ferroelectric Hafnia Thin Films,"TiN, HfO2",1.0,,2 S,,
Structural and Electrocatalytic Properties of La-Co-Ni Oxide Thin Films,TiN,500.0,5 Pa,10800 s,,
Recent Advancements in the Development of Two-dimensional Transition Metal Dichalcogenides (TMDs) and their potential application,TiN,700.0,,2 S,5000.0,
Holey sheets: Double-Threshold Rupture of Draining Liquid Films,TiN,1.0,,,,
Experimental study of the acoustic frequency-up conversion effect by nonlinear thin plates,TiN,2.0,,,,
Synthesis of Ultra-thin Potassium Tungsten Bronze Single Crystals with Optically Contrasting Domains and Resistive Switching,"TiN, HfO2",700.0,,1 s,20.0,
Dynamic and Continuous Control of Second-Harmonic Chirality through Lithium Niobate Nonlocal Metasurface,TiN,1.0,,35 s,,
Morphological and Chemical Changes in Cd-free Colloidal QD-LEDs During Operation,TiN,1.0,100 pA,17.6 s,,
"A 5.9 GHz Sezawa SAW Acoustic Delay Line Based on Al0.6Sc0.4N-on-Sapphire with Propagation Q-factor > 3,000",TiN,1000.0,,,,
Skeletal editing by tip-induced chemistry,TiN,12.0,0.5 pA,30 ms,,
Many-body skyrmion interactions in helimagnets,TiN,2.0,,,,
Discrete broadly stable distributions,TiN,1.0,,1920 s,,
Probing laser-driven surface and subsurface dynamics via grazing-incidence XFEL scattering and diffraction,TiN,2.0,,,,
A thermodynamically consistent model for bulk-surface viscous fluid mixtures: Model derivation and mathematical analysis,TiN,1.1,,2 s,,
Extraction of Electron and Hole Drift Velocities in thin 4H-SiC PIN Detectors using High-Frequency Readout Electronics,TiN,,100 pA,1970 s,,
Hetero-EUCLID: Interpretable model discovery for heterogeneous hyperelastic materials using stress-unsupervised learning,TiN,7.0,,1 s,,
Dense gas properties and star formation in M 82,TiN,13.0,,06 s,,
Microsurgical Instrument Segmentation for Robot-Assisted Surgery,TiN,1.0,,,,
Neural Audio Codecs for Prompt-Driven Universal Sound Separation,TiN,19.0,,1 s,,
Disentangling disc and atmospheric signatures of young brown dwarfs with JWST/NIRSpec,"TiN, Al2O3",12.0,,5 S,,
Integration of $\text{Er}^{3+}$-emitters in silicon-on-insulator nanodisks metasurface,TiN,500.0,,4 ms,,
Geometric Analysis of Magnetic Labyrinthine Stripe Evolution via U-Net Segmentation,TiN,,,10 s,,
Diffusion of $^{210}\text{Pb}$ and $^{210}\text{Po}$ in Nylon,TiN,2.0,,1 S,,
"Ultrafast optical modulation of vibrational strong coupling in ReCl(CO)$_3$(2,2-bipyridine)",TiN,262.0,,,,
Role of magnetic shear distribution on the formation of eruptive flux ropes,TiN,1.0,,1 s,,
On a class of thin obstacle-type problems for the bi-Laplacian operator,TiN,,,2 s,,
Analytic Model for Scattered Ly$\boldsymbolα$ Emission in the Post-reionization Intergalactic Medium,TiN,,,2 s,,
