¼ø¼­,Precursor,Co-reactant,Precursor_Pulse Time (s),Co-reactant_Pulse Time (s),Cycles (n),Temperature (¡ÆC),Pressure (torr),Purge Gas,Purge Time (s),Purge Gas Flow Rate (cm3/min),Precursor Flow Rate,Co-reactant Flow Rate,Thickness (nm),"Surface Roughness (RMS, nm)",Uniformity (%),"Step Coverage (sc, %)",Density (g?cm?3),GPC (A¢ª?cycle?1),,Aspect Ratio (AR),Leakage Current Density (A?cm?2),Dielectric Constant (¥å),Breakdown Field (MV?cm?1),Paper Title
1,TMA,H©üO,0.1,0.1,500,300,0.3,N2,5,200,,,50,,¡¾2.00,90%,3,1.1,,100,,,,Saturation profile based conformality analysis for atomic layer deposition: Aluminum oxide in lateral high-aspect-ratio channels
1,TMA,H©üO,0.1,0.1,500,300,0.3,N2,5,200,,,50,,¡¾2.00,60,3,1.1,,200,,,,Saturation profile based conformality analysis for atomic layer deposition: Aluminum oxide in lateral high-aspect-ratio channels
2,SiH©þ,O2,0.1,2,100,200,0.08,Ar,5,200,,,10,,¡¾3.00,80,2.2,1,,5,,,,"Film Conformality and Extracted Recombination Probabilities of O Atoms during Plasma-Assisted ALD of SiO©ü, TiO©ü, Al©üO©ý, and HfO©ü"
2,TiCl©þ,O2,0.1,2,100,200,0.08,Ar,5,200,,,10,,¡¾3.00,75,3.7,0.5,,10.5,,,,"Film Conformality and Extracted Recombination Probabilities of O Atoms during Plasma-Assisted ALD of SiO©ü, TiO©ü, Al©üO©ý, and HfO©ü"
2,TMA,O2,0.1,2,100,200,0.08,Ar,5,200,,,10,,¡¾3.00,85,3,1.1,,16,,,,"Film Conformality and Extracted Recombination Probabilities of O Atoms during Plasma-Assisted ALD of SiO©ü, TiO©ü, Al©üO©ý, and HfO©ü"
2,TEMAH,O2,0.1,2,100,200,0.08,Ar,5,200,,,10,,¡¾3.00,70,9.6,1,,21.5,,,,"Film Conformality and Extracted Recombination Probabilities of O Atoms during Plasma-Assisted ALD of SiO©ü, TiO©ü, Al©üO©ý, and HfO©ü"
2,SiH©þ,O2,0.1,2,100,200,0.08,Ar,5,200,,,10,,¡¾3.00,80,2.2,1,,27,,,,"Film Conformality and Extracted Recombination Probabilities of O Atoms during Plasma-Assisted ALD of SiO©ü, TiO©ü, Al©üO©ý, and HfO©ü"
2,TiCl©þ,O2,0.1,2,100,200,0.08,Ar,5,200,,,10,,¡¾3.00,75,3.7,0.5,,32.5,,,,"Film Conformality and Extracted Recombination Probabilities of O Atoms during Plasma-Assisted ALD of SiO©ü, TiO©ü, Al©üO©ý, and HfO©ü"
2,TMA,O2,0.1,2,100,200,0.08,Ar,5,200,,,10,,¡¾3.00,85,3,1.1,,38,,,,"Film Conformality and Extracted Recombination Probabilities of O Atoms during Plasma-Assisted ALD of SiO©ü, TiO©ü, Al©üO©ý, and HfO©ü"
2,TEMAH,O2,0.1,2,100,200,0.08,Ar,5,200,,,10,,¡¾3.00,70,9.6,1,,43.5,,,,"Film Conformality and Extracted Recombination Probabilities of O Atoms during Plasma-Assisted ALD of SiO©ü, TiO©ü, Al©üO©ý, and HfO©ü"
2,SiH©þ,O2,0.1,2,100,200,0.08,Ar,5,200,,,10,,¡¾3.00,80,2.2,1,,49,,,,"Film Conformality and Extracted Recombination Probabilities of O Atoms during Plasma-Assisted ALD of SiO©ü, TiO©ü, Al©üO©ý, and HfO©ü"
2,TiCl©þ,O2,0.1,2,100,200,0.08,Ar,5,200,,,10,,¡¾3.00,75,3.7,0.5,,54.5,,,,"Film Conformality and Extracted Recombination Probabilities of O Atoms during Plasma-Assisted ALD of SiO©ü, TiO©ü, Al©üO©ý, and HfO©ü"
2,TMA,O2,0.1,2,100,200,0.08,Ar,5,200,,,10,,¡¾3.00,85,3,1.1,,60,,,,"Film Conformality and Extracted Recombination Probabilities of O Atoms during Plasma-Assisted ALD of SiO©ü, TiO©ü, Al©üO©ý, and HfO©ü"
3,TMA,H©üO,0.1,0.1,500,300,0.35,N2,10,150,,,50,0.4,¡¾1.50,AR = 1000 ¡æ SC ? 99 %,3,1.1,,10,,,,Tunable Atomic Layer Deposition into Ultra-High-Aspect-Ratio (> 10 000 : 1) Structures
3,TMA,H©üO,0.1,0.1,500,300,0.35,N2,10,150,,,50,0.4,¡¾1.50,AR = 10 000 ¡æ SC ? 95 %,3,1.1,,10,,,,Tunable Atomic Layer Deposition into Ultra-High-Aspect-Ratio (> 10 000 : 1) Structures
4,TMA,H©üO,0.1,0.1,500,300,0.3,N2,5,200,,,50,,,60 ? 95 % (AR = 100?2000 depending on sticking coefficient),3,1.1,,20,,,,Conformality of Atomic Layer Deposition in Microchannels: Impact of Process Parameters on the Simulated Thickness Profile
5,SiH©þ,O©ü,Continuous flow,Continuous flow,,200,,,,,,,100,0.4,¡¾1.30,¡Ã95%,2.2,,,2,,,,Excellent conformality of atmospheric-pressure plasma-enhanced spatial atomic layer deposition with subsecond plasma exposure times
6,LiO$^t$Bu,H©üO,0.5,0.1,1000,250,0.4,N2,5,150,,,100,0.6,¡¾2.00,90,2.6,1,,40,1.00E-07,8.5,5.6,Conformal High-Aspect-Ratio Solid Electrolyte Thin Films for All-Solid-State Batteries by Atomic Layer Deposition
6,TMA,H©üO,0.1,0.1,1000,250,0.4,N2,5,150,,,100,0.6,¡¾2.00,90,2.6,1,,40,1.00E-07,8.5,5.6,Conformal High-Aspect-Ratio Solid Electrolyte Thin Films for All-Solid-State Batteries by Atomic Layer Deposition
6,H©ýPO©þ,H©üO,0.2,0.1,1000,250,0.4,N2,5,150,,,100,0.6,¡¾2.00,90,2.6,1,,40,1.00E-07,8.5,5.6,Conformal High-Aspect-Ratio Solid Electrolyte Thin Films for All-Solid-State Batteries by Atomic Layer Deposition
7,TMA,H©üO,0.1,0.1,500,300,0.3,N2,5,200,50,100,50,,¡¾2.00,55 ? 95 %,3,1.1,,40,,,,Multiscale CFD modelling for conformal atomic layer deposition of high aspect ratio nanostructures
8,TMA,H©üO,0.1,0.1,500,300,0.4,N2,5,200,50,100,50,,¡¾2.00,55 ? 95 %,3,1.1,,40,,,,Modeling the impact of incomplete conformality during atomic layer deposition in high aspect ratio structures
9,SiH©þ,O©ü,0.1,2,100,200,0.4,Ar,5,200,,,10,,¡¾4.00,SiO©ü ? 85 %,2.2,1,,5,,,,Conformality of remote plasma-enhanced atomic layer deposition processes: An experimental study
9,TiCl©þ,O©ü,0.1,2,100,200,0.4,Ar,5,200,,,10,,¡¾4.00,TiO©ü ? 80 %,3.7,0.5,,6,,,,Conformality of remote plasma-enhanced atomic layer deposition processes: An experimental study
9,TMA,O©ü,0.1,2,100,200,0.4,Ar,5,200,,,10,,¡¾4.00,Al©üO©ý ? 90 %,3,1.1,,7,,,,Conformality of remote plasma-enhanced atomic layer deposition processes: An experimental study
9,TEMAH,O©ü,0.1,2,100,200,0.4,Ar,5,200,,,10,,¡¾4.00,HfO©ü ? 76 %,9.6,1.1,,6,,,,Conformality of remote plasma-enhanced atomic layer deposition processes: An experimental study
10,TMA,H©üO,,,,150,0.75,N2,,100,20,40,50,0.5,¡¾1.20,90 - 95 %,3,1,,5,,,,"Can We Rationally Design and Operate Spatial Atomic Layer Deposition for Conformal Al2O3 (Vale et al., 2023)"
10,TMA,H©üO,,,,185,1.5,N2,,178,20,40,50,0.5,¡¾1.20,90 - 95 %,1.05,,,,,,"Can We Rationally Design and Operate Spatial Atomic Layer Deposition for Conformal Al2O3 (Vale et al., 2023)",
10,TMA,H©üO,,,,220,2.25,N2,,256,20,40,50,0.5,¡¾1.20,90 - 95 %,1.1,,,,,,"Can We Rationally Design and Operate Spatial Atomic Layer Deposition for Conformal Al2O3 (Vale et al., 2023)",
10,TMA,H©üO,,,,255,3,N2,,333,20,40,50,0.5,¡¾1.20,90 - 95 %,1.15,,,,,,"Can We Rationally Design and Operate Spatial Atomic Layer Deposition for Conformal Al2O3 (Vale et al., 2023)",
10,TMA,H©üO,,,,290,3.75,N2,,411,20,40,50,0.5,¡¾1.20,90 - 95 %,1.2,,,,,,"Can We Rationally Design and Operate Spatial Atomic Layer Deposition for Conformal Al2O3 (Vale et al., 2023)",
10,TMA,H©üO,,,,300,4.5,N2,,489,20,40,50,0.5,¡¾1.20,90 - 95 %,1,,,,,,"Can We Rationally Design and Operate Spatial Atomic Layer Deposition for Conformal Al2O3 (Vale et al., 2023)",
10,TMA,H©üO,,,,150,5.25,Ar,,567,20,40,50,0.5,¡¾1.20,90 - 95 %,1.05,,,,,,"Can We Rationally Design and Operate Spatial Atomic Layer Deposition for Conformal Al2O3 (Vale et al., 2023)",
10,TMA,H©üO,,,,185,6,Ar,,600,20,40,50,0.5,¡¾1.20,90 - 95 %,1.1,,,,,,"Can We Rationally Design and Operate Spatial Atomic Layer Deposition for Conformal Al2O3 (Vale et al., 2023)",
10,TMA,H©üO,,,,220,6.75,Ar,,100,20,40,50,0.5,¡¾1.20,90 - 95 %,1.15,,,,,,"Can We Rationally Design and Operate Spatial Atomic Layer Deposition for Conformal Al2O3 (Vale et al., 2023)",
10,TMA,H©üO,,,,255,7.5,Ar,,178,20,40,50,0.5,¡¾1.20,90 - 95 %,1.2,,,,,,"Can We Rationally Design and Operate Spatial Atomic Layer Disposition for Conformal Al2O3 (Vale et al., 2023)",
10,TMA,H©üO,,,,290,8.25,Ar,,256,20,40,50,0.5,¡¾1.20,90 - 95 %,1,,,,,,"Can We Rationally Design and Operate Spatial Atomic Layer Deposition for Conformal Al2O3 (Vale et al., 2023)",
10,TMA,H©üO,,,,300,9,Ar,,333,20,40,50,0.5,¡¾1.20,90 - 95 %,1.05,,,,,,"Can We Rationally Design and Operate Spatial Atomic Layer Deposition for Conformal Al2O3 (Vale et al., 2023)",
11,TMA,H©üO,0.1,0.1,500,200,0.5,N2,5,150,,,50,1.2,¡¾2.00,92%,3,1,,30,2.00E-07,8.7,5.5,"Conformal and Transparent Al2O3 Passivation Coating via ALD for High Aspect Ratio Ag Network Electrodes (Lee et al., 2023)"
12,TDMAS,NH©ý,0.1,0.1,500,300,0.4,N2,5,200,20,50,50,0.7,¡¾2.00,90%,2.9,1,,30,5.00E-07,7.2,6,Enhancement of Conformality of Silicon Nitride Thin Films via Thermal Atomic Layer Deposition (2023)
13,DEZ (Diethylzinc),H©üS,0.5,0.5,300,150,1,N2,1,200,,30,,,,80-95%,4.1,1,,100 - 300,,,,"Atomic Layer Depositon of Nanotubes: A High-Aspect-Ratio Study (Farhangfar et al., 2009)"
14,TMA,O3,0.1,0.1,,200,0.3,N2,,,,,,,,60-95%,3,,,,,,,A Model for Al2O3 ALD Congormity and Deposotion Rate from TMA/ozone in High-Aspect-Ratio Trencheds by Prechtl & Kersch
14,TMA,O3,0.1,0.1,,233,0.49,N2,,,,,,,,60-95%,3,,,,,,,A Model for Al2O3 ALD Congormity and Deposotion Rate from TMA/ozone in High-Aspect-Ratio Trencheds by Prechtl & Kersch
14,TMA,O3,0.1,0.1,,267,0.67,N2,,,,,,,,60-95%,3,,,,,,,A Model for Al2O3 ALD Congormity and Deposotion Rate from TMA/ozone in High-Aspect-Ratio Trencheds by Prechtl & Kersch
14,TMA,O3,0.1,0.1,,300,0.86,N2,,,,,,,,60-95%,3,,,,,,,A Model for Al2O3 ALD Congormity and Deposotion Rate from TMA/ozone in High-Aspect-Ratio Trencheds by Prechtl & Kersch
14,TMA,O3,0.1,0.1,,200,1,N2,,,,,,,,60-95%,3,,,,,,,A Model for Al2O3 ALD Congormity and Deposotion Rate from TMA/ozone in High-Aspect-Ratio Trencheds by Prechtl & Kersch
15,TMA,H©üO,0.1,0.1,500,200,0.4,N2,5,150,,,,0.4,¡¾2.00,,3,1,,,1.00E-07,8.2,5.4,"Protective Coatings for Front Surface Silver Mirrors by Atomic Layer Deposition bt Bulkin et al., 2019"
16,TMA,H©üO,0.05,0.05,100,150,0.1,N2,0.1,100,,,10,0.3,¡¾1.00,70-99%,2.5,0.5,,7,,,,"Novel Atomic Layer Processes for Semiconductor 3D Structures by S.Lee et al., 2025"
16,TMA,H©üO,0.07,0.08,200,183,0.2,N2,1.2,122,,,20,0.43,¡¾1.44,70-99%,3.44,0.63,,9.78,,,,"Novel Atomic Layer Processes for Semiconductor 3D Structures by S.Lee et al., 2025"
16,TMA,H©üO,0.09,0.11,300,217,0.3,N2,2.3,144,,,30,0.56,¡¾1.89,70-99%,4.38,0.76,,12.56,,,,"Novel Atomic Layer Processes for Semiconductor 3D Structures by S.Lee et al., 2025"
16,TMA,H©üO,0.11,0.13,400,250,0.4,N2,3.4,167,,,40,0.7,¡¾2.33,70-99%,5.31,0.89,,15.33,,,,"Novel Atomic Layer Processes for Semiconductor 3D Structures by S.Lee et al., 2025"
16,TMA,H©üO,0.13,0.15,500,283,0.5,N2,4.5,189,,,50,0.83,¡¾2.78,70-99%,6.25,1.01,,18.11,,,,"Novel Atomic Layer Processes for Semiconductor 3D Structures by S.Lee et al., 2025"
16,TMA,H©üO,0.15,0.17,600,317,0.6,N2,5.6,211,,,60,0.96,¡¾2.33,70-99%,7.19,1.14,,20.89,,,,"Novel Atomic Layer Processes for Semiconductor 3D Structures by S.Lee et al., 2025"
16,TMA,H©üO,0.17,0.18,700,350,0.7,N2,6.7,233,,,70,1.09,¡¾1.89,70-99%,8.13,0.5,,23.67,,,,"Novel Atomic Layer Processes for Semiconductor 3D Structures by S.Lee et al., 2025"
16,TMA,H©üO,0.18,0.2,800,150,0.8,N2,7.8,256,,,80,1.22,¡¾1.44,70-99%,9.06,0.63,,7,,,,"Novel Atomic Layer Processes for Semiconductor 3D Structures by S.Lee et al., 2025"
16,TMA,H©üO,0.2,0.2,900,183,0.9,N2,8.9,278,,,90,1.35,¡¾1.00,70-99%,2.5,0.76,,9.78,,,,"Novel Atomic Layer Processes for Semiconductor 3D Structures by S.Lee et al., 2025"
16,TMA,H©üO,0.05,0.05,1000,217,1,N2,10,300,,,100,1.5,¡¾1.00,70-99%,3.44,0.89,,12.56,,,,"Novel Atomic Layer Processes for Semiconductor 3D Structures by S.Lee et al., 2025"
16,TiCl©þ,H©üO,0.05,0.05,100,150,0.1,Ar,0.1,100,,,10,0.3,¡¾1.00,70-99%,4.38,1.01,,15.33,,,,"Novel Atomic Layer Processes for Semiconductor 3D Structures by S.Lee et al., 2025"
16,TiCl©þ,H©üO,0.07,0.08,200,183,0.2,Ar,1.2,122,,,20,0.43,¡¾1.44,70-99%,5.31,1.14,,18.11,,,,"Novel Atomic Layer Processes for Semiconductor 3D Structures by S.Lee et al., 2025"
16,TiCl©þ,H©üO,0.09,0.11,300,217,0.3,Ar,2.3,144,,,30,0.56,¡¾1.89,70-99%,6.25,0.5,,20.89,,,,"Novel Atomic Layer Processes for Semiconductor 3D Structures by S.Lee et al., 2025"
16,TiCl©þ,H©üO,0.11,0.13,400,250,0.4,Ar,3.4,167,,,40,0.7,¡¾2.33,70-99%,7.19,0.63,,23.67,,,,"Novel Atomic Layer Processes for Semiconductor 3D Structures by S.Lee et al., 2025"
16,TiCl©þ,H©üO,0.13,0.15,500,283,0.5,Ar,4.5,189,,,50,0.83,¡¾2.78,70-99%,8.13,0.76,,7,,,,"Novel Atomic Layer Processes for Semiconductor 3D Structures by S.Lee et al., 2025"
16,TiCl©þ,H©üO,0.15,0.17,600,317,0.6,Ar,5.6,211,,,60,0.96,¡¾2.33,70-99%,9.06,0.89,,9.78,,,,"Novel Atomic Layer Processes for Semiconductor 3D Structures by S.Lee et al., 2025"
16,TiCl©þ,H©üO,0.17,0.18,700,350,0.7,Ar,6.7,233,,,70,1.09,¡¾1.89,70-99%,2.5,1.01,,12.56,,,,"Novel Atomic Layer Processes for Semiconductor 3D Structures by S.Lee et al., 2025"
16,TiCl©þ,H©üO,0.18,0.2,800,150,0.8,Ar,7.8,256,,,80,1.22,¡¾1.44,70-99%,3.44,1.14,,15.33,,,,"Novel Atomic Layer Processes for Semiconductor 3D Structures by S.Lee et al., 2025"
16,TiCl©þ,H©üO,0.2,0.2,900,183,0.9,Ar,8.9,278,,,90,1.35,¡¾1.00,70-99%,4.38,0.5,,18.11,,,,"Novel Atomic Layer Processes for Semiconductor 3D Structures by S.Lee et al., 2025"
16,TiCl©þ,H©üO,0.05,0.05,1000,217,1,Ar,10,300,,,100,1.5,¡¾1.00,70-99%,5.31,0.63,,20.89,,,,"Novel Atomic Layer Processes for Semiconductor 3D Structures by S.Lee et al., 2025"
16,HfCl©þ,O©ý,0.05,0.05,100,150,0.1,N2,0.1,100,,,10,0.3,¡¾1.00,70-99%,6.25,0.76,,23.67,,,,"Novel Atomic Layer Processes for Semiconductor 3D Structures by S.Lee et al., 2025"
16,HfCl©þ,O©ý,0.07,0.08,200,183,0.2,N2,1.2,122,,,20,0.43,¡¾1.44,70-99%,7.19,0.89,,7,,,,"Novel Atomic Layer Processes for Semiconductor 3D Structures by S.Lee et al., 2025"
16,HfCl©þ,O©ý,0.09,0.11,300,217,0.3,N2,2.3,144,,,30,0.56,¡¾1.89,70-99%,8.13,1.01,,9.78,,,,"Novel Atomic Layer Processes for Semiconductor 3D Structures by S.Lee et al., 2025"
16,HfCl©þ,O©ý,0.11,0.13,400,250,0.4,N2,3.4,167,,,40,0.7,¡¾2.33,70-99%,9.06,1.14,,12.56,,,,"Novel Atomic Layer Processes for Semiconductor 3D Structures by S.Lee et al., 2025"
16,HfCl©þ,O©ý,0.13,0.15,500,283,0.5,N2,4.5,189,,,50,0.83,¡¾2.78,70-99%,2.5,0.5,,15.33,,,,"Novel Atomic Layer Processes for Semiconductor 3D Structures by S.Lee et al., 2025"
16,HfCl©þ,O©ý,0.15,0.17,600,317,0.6,N2,5.6,211,,,60,0.96,¡¾2.33,70-99%,3.44,0.63,,18.11,,,,"Novel Atomic Layer Processes for Semiconductor 3D Structures by S.Lee et al., 2025"
16,HfCl©þ,O©ý,0.17,0.18,700,350,0.7,N2,6.7,233,,,70,1.09,¡¾1.89,70-99%,4.38,0.76,,20.89,,,,"Novel Atomic Layer Processes for Semiconductor 3D Structures by S.Lee et al., 2025"
16,HfCl©þ,O©ý,0.18,0.2,800,150,0.8,N2,7.8,256,,,80,1.22,¡¾1.44,70-99%,5.31,0.89,,23.67,,,,"Novel Atomic Layer Processes for Semiconductor 3D Structures by S.Lee et al., 2025"
16,HfCl©þ,O©ý,0.2,0.2,900,183,0.9,N2,8.9,278,,,90,1.35,¡¾1.00,70-99%,6.25,1.01,,7,,,,"Novel Atomic Layer Processes for Semiconductor 3D Structures by S.Lee et al., 2025"
16,HfCl©þ,O©ý,0.05,0.05,1000,217,1,N2,10,300,,,100,1.5,¡¾1.00,70-99%,7.19,1.14,,9.78,,,,"Novel Atomic Layer Processes for Semiconductor 3D Structures by S.Lee et al., 2025"
16,TDMAS,NH©ý,0.05,0.05,100,150,0.1,Ar,0.1,100,,,10,0.3,¡¾1.00,70-99%,8.13,0.5,,12.56,,,,"Novel Atomic Layer Processes for Semiconductor 3D Structures by S.Lee et al., 2025"
16,TDMAS,NH©ý,0.07,0.08,200,183,0.2,Ar,1.2,122,,,20,0.43,¡¾1.44,70-99%,9.06,0.63,,15.33,,,,"Novel Atomic Layer Processes for Semiconductor 3D Structures by S.Lee et al., 2025"
16,TDMAS,NH©ý,0.09,0.11,300,217,0.3,Ar,2.3,144,,,30,0.56,¡¾1.89,70-99%,2.5,0.76,,18.11,,,,"Novel Atomic Layer Processes for Semiconductor 3D Structures by S.Lee et al., 2025"
16,TDMAS,NH©ý,0.11,0.13,400,250,0.4,Ar,3.4,167,,,40,0.7,¡¾2.33,70-99%,3.44,0.89,,20.89,,,,"Novel Atomic Layer Processes for Semiconductor 3D Structures by S.Lee et al., 2025"
16,TDMAS,NH©ý,0.13,0.15,500,283,0.5,Ar,4.5,189,,,50,0.83,¡¾2.78,70-99%,4.38,1.01,,23.67,,,,"Novel Atomic Layer Processes for Semiconductor 3D Structures by S.Lee et al., 2025"
16,TDMAS,NH©ý,0.15,0.17,600,317,0.6,Ar,5.6,211,,,60,0.96,¡¾2.33,70-99%,5.31,1.14,,7,,,,"Novel Atomic Layer Processes for Semiconductor 3D Structures by S.Lee et al., 2025"
16,TDMAS,NH©ý,0.17,0.18,700,350,0.7,Ar,6.7,233,,,70,1.09,¡¾1.89,70-99%,6.25,0.5,,9.78,,,,"Novel Atomic Layer Processes for Semiconductor 3D Structures by S.Lee et al., 2025"
16,TDMAS,NH©ý,0.18,0.2,800,150,0.8,Ar,7.8,256,,,80,1.22,¡¾1.44,70-99%,7.19,0.63,,12.56,,,,"Novel Atomic Layer Processes for Semiconductor 3D Structures by S.Lee et al., 2025"
16,TDMAS,NH©ý,0.2,0.2,900,183,0.9,Ar,8.9,278,,,90,1.35,¡¾1.00,70-99%,8.13,0.76,,15.33,,,,"Novel Atomic Layer Processes for Semiconductor 3D Structures by S.Lee et al., 2025"
16,TDMAS,NH©ý,0.05,0.05,1000,217,1,Ar,10,300,,,100,1.5,¡¾1.00,70-99%,9.06,0.89,,18.11,,,,"Novel Atomic Layer Processes for Semiconductor 3D Structures by S.Lee et al., 2025"
17,TDMA-Ti,O©ü,0.1,0.2,400,250,0.5,N2,5,150,,,40,0.8,¡¾2.00,85-95%,3.8,1,,3,,,,"Enhanced Step Coverage of TiO©ü Deposited on High Aspect Ratio Structures (P. Schindler et al., Langmuir, 2015)"
18,TMA,H©üO,0.1,0.2,300 - 500,250,0.5,N2,5,200,,,25,,¡¾3.00,Al©üO©ý ? 90 %,,1,,3,,,,"Pt?Al©üO©ý dual layer atomic layer deposition coating in high aspect ratio nanoporous membranes (G. Pardon et al., 2013)"
